cluster,count,mean_severity,max_severity,n_types,top_type,top_neighborhood,lat_center,lng_center,n_CurbRamp,n_NoCurbRamp,n_NoSidewalk,n_Obstacle,n_Other,n_SurfaceProblem,spread_m,hotspot_score
1035,12,3.0833333333333335,4.0,4,NoCurbRamp,Madrona,47.609330813090004,-122.29259300231934,2,7,0,1,0,2,41.072845458984375,53.65
1161,12,3.4166666666666665,4.0,3,NoCurbRamp,Madrona,47.61403942108154,-122.28639666239421,3,8,0,0,0,1,83.92058730953798,53.300000000000004
139,13,3.1538461538461537,5.0,3,NoCurbRamp,Mount Baker,47.55690266535832,-122.26973196176382,0,7,0,4,0,2,235.00442504882812,53.300000000000004
259,12,3.4166666666666665,5.0,3,NoCurbRamp,University District,47.65789254506429,-122.3033930460612,2,9,1,0,0,0,150.58808897793017,53.300000000000004
1170,12,4.416666666666667,5.0,1,NoSidewalk,Ravenna,47.69234307607015,-122.29349199930827,0,0,12,0,0,0,83.79484489140143,53.0
417,13,4.076923076923077,5.0,1,NoSidewalk,View Ridge,47.68041229248047,-122.26374112642728,0,0,13,0,0,0,149.0478515632887,53.0
491,12,3.8333333333333335,5.0,2,NoSidewalk,Industrial District,47.58376407623291,-122.32586415608723,0,0,8,4,0,0,170.21942138671875,52.9
67,13,4.0,4.0,1,NoSidewalk,Industrial District,47.53896097036508,-122.33509533221905,0,0,13,0,0,0,163.44451904296875,52.0
194,13,4.0,4.0,1,NoSidewalk,Roosevelt,47.71817720853365,-122.32083247258113,0,0,13,0,0,0,129.14657592773438,52.0
1088,13,4.0,5.0,1,NoCurbRamp,Wallingford,47.65771132249098,-122.32428095890926,0,13,0,0,0,0,128.34256674934272,52.0
613,13,4.0,4.0,1,NoSidewalk,Industrial District,47.57768777700571,-122.33670161320613,0,0,13,0,0,0,232.0404052734375,52.0
668,15,3.0,3.0,2,NoCurbRamp,Mann,47.610033925374346,-122.29833679199218,0,12,0,0,0,3,204.96461546134904,51.74999999999999
215,15,3.0,3.0,2,NoSidewalk,Industrial District,47.549198150634766,-122.39762166341146,0,0,14,0,0,1,225.2655029296875,51.74999999999999
152,15,3.0,3.0,2,NoCurbRamp,Mount Baker,47.564764404296874,-122.2724365234375,2,13,0,0,0,0,146.50726318359375,51.74999999999999
422,17,3.0,3.0,1,NoSidewalk,Sunset Hill,47.69162525850184,-122.39391775692211,0,0,17,0,0,0,156.24618530273438,51.0
616,17,3.0,3.0,1,NoSidewalk,Loyal Heights,47.698209425982306,-122.38975165872013,0,0,17,0,0,0,132.95745849609375,51.0
236,13,3.0,3.0,3,SurfaceProblem,Industrial District,47.537883465106674,-122.39183337871845,0,2,5,0,0,6,104.62462372753345,50.7
312,12,3.25,5.0,3,NoCurbRamp,Lawton Park,47.6598924001058,-122.39541244506836,1,10,1,0,0,0,145.660400390625,50.7
726,13,3.0,3.0,3,NoCurbRamp,Minor,47.60894452608549,-122.30372208815355,3,6,0,0,0,4,171.48971557617188,50.7
889,12,3.25,4.0,3,NoCurbRamp,Whittier Heights,47.67957369486491,-122.36828931172688,0,8,0,1,0,3,158.50796170114222,50.7
277,13,3.3846153846153846,5.0,2,NoSidewalk,Ravenna,47.73199462890625,-122.29939974271335,0,0,12,0,0,1,96.83189765569418,50.599999999999994
463,12,3.6666666666666665,4.0,2,NoCurbRamp,North Queen Anne,47.646651903788246,-122.36231358846028,0,8,0,4,0,0,49.06577084608899,50.599999999999994
698,12,3.6666666666666665,5.0,2,NoCurbRamp,Loyal Heights,47.68319288889567,-122.38520431518555,2,10,0,0,0,0,156.78656681297272,50.599999999999994
821,13,3.3846153846153846,5.0,2,NoCurbRamp,Roosevelt,47.690324343167816,-122.3106912466196,1,12,0,0,0,0,95.7692441146198,50.599999999999994
881,13,3.3076923076923075,4.0,2,NoCurbRamp,Green Lake,47.675902733436,-122.32401099571815,0,9,0,0,0,4,96.36593639838654,49.449999999999996
1196,12,3.1666666666666665,4.0,3,SurfaceProblem,North Beacon Hill,47.58546415964762,-122.30960337320964,0,4,0,1,0,7,63.97442691066639,49.4
854,14,3.0,3.0,2,NoCurbRamp,Sunset Hill,47.684926986694336,-122.39437484741211,0,13,0,0,0,1,33.02764892578125,48.3
1012,14,3.0,3.0,2,NoCurbRamp,Roosevelt,47.68833705357143,-122.32429504394531,0,12,0,0,0,2,96.11892700195312,48.3
551,12,3.5,4.0,2,NoSidewalk,Industrial District,47.590545654296875,-122.33001454671223,0,1,11,0,0,0,102.89382934570312,48.3
890,14,3.0,3.0,2,NoCurbRamp,West Woodland,47.670879636492046,-122.36431448800224,1,13,0,0,0,0,177.35320228046598,48.3
902,12,3.5,5.0,2,NoCurbRamp,Roosevelt,47.686708768208824,-122.31146430969238,0,11,0,0,0,1,241.72008635775575,48.3
687,14,3.0,3.0,2,Obstacle,Central Business District,47.607225690569194,-122.33273042951312,0,0,0,13,0,1,143.54324340820312,48.3
1029,14,3.0,3.0,2,NoCurbRamp,Roosevelt,47.68079594203404,-122.31870487758091,0,13,0,1,0,0,74.52392578125,48.3
450,16,3.0,3.0,1,NoSidewalk,Sunset Hill,47.68869876861572,-122.40171098709106,0,0,16,0,0,0,89.7674560546875,48.0
649,12,4.0,4.0,1,NoSidewalk,Industrial District,47.57166004180908,-122.33148765563965,0,0,12,0,0,0,71.99020805487562,48.0
529,12,4.0,4.0,1,NoSidewalk,Industrial District,47.558753967285156,-122.32932662963867,0,0,12,0,0,0,122.79510497968005,48.0
652,12,3.4166666666666665,5.0,2,CurbRamp,Atlantic,47.59743054707845,-122.31175994873047,6,6,0,0,0,0,92.73147583007812,47.15
1182,13,3.6153846153846154,4.0,1,NoSidewalk,North Beacon Hill,47.58219880324144,-122.30186931903546,0,0,13,0,0,0,100.35324096679688,47.0
578,14,3.357142857142857,4.0,1,NoSidewalk,Industrial District,47.55846350533621,-122.33682359967914,0,0,14,0,0,0,78.75823974609375,47.0
910,14,3.357142857142857,4.0,1,NoSidewalk,Sunset Hill,47.668309347970144,-122.40235682896206,0,0,14,0,0,0,67.32559204101562,47.0
1076,12,3.0,3.0,3,NoCurbRamp,Madrona,47.6152868270874,-122.29359181722005,2,7,0,0,0,3,105.85784912109375,46.800000000000004
266,12,3.0,3.0,3,NoSidewalk,Ravenna,47.722683588663735,-122.30051358540852,1,0,10,0,0,1,81.72225952148438,46.800000000000004
659,12,3.0,3.0,3,NoCurbRamp,Madison Park,47.636959075927734,-122.28003946940105,1,10,0,0,1,0,172.9033396333344,46.800000000000004
866,12,3.0,3.0,3,NoCurbRamp,Whittier Heights,47.68875312805176,-122.36936378479004,0,8,0,1,0,3,17.10216595316389,46.800000000000004
518,12,3.0,3.0,3,Obstacle,Lower Queen Anne,47.62640062967936,-122.3476053873698,0,1,0,7,0,4,136.34490966796875,46.800000000000004
449,14,3.2857142857142856,4.0,1,NoSidewalk,Sunset Hill,47.689313888549805,-122.4003519330706,0,0,14,0,0,0,98.62142996352331,46.0
933,13,3.076923076923077,4.0,2,NoCurbRamp,Phinney Ridge,47.6745840219351,-122.34852247971754,0,11,0,0,0,2,49.541473388671875,46.0
108,12,3.3333333333333335,4.0,2,CurbRamp,North Beacon Hill,47.55856386820475,-122.3138427734375,11,1,0,0,0,0,312.0689392089844,46.0
876,12,3.3333333333333335,4.0,2,NoCurbRamp,North Beacon Hill,47.589948654174805,-122.31757100423177,0,8,4,0,0,0,64.5400971951503,46.0
77,13,3.076923076923077,4.0,2,SurfaceProblem,Industrial District,47.53822796161358,-122.35799701397235,0,0,0,1,0,12,89.34402465820312,46.0
268,15,3.0,3.0,1,NoSidewalk,Ravenna,47.72350184122721,-122.3019027709961,0,0,15,0,0,0,117.71392822344495,45.0
694,15,3.0,3.0,1,CurbRamp,First Hill,47.609632619222005,-122.32386423746745,15,0,0,0,0,0,90.61431884765625,45.0
291,15,3.0,3.0,1,NoSidewalk,Ravenna,47.72575861612956,-122.30461730957032,0,0,15,0,0,0,118.13735961914062,45.0
4,15,3.0,3.0,1,CurbRamp,Green Lake,47.73129170735677,-122.33279927571614,15,0,0,0,0,0,115.1733398429613,45.0
273,15,3.0,3.0,1,NoSidewalk,Ravenna,47.733314259847006,-122.3026621500651,0,0,15,0,0,0,71.98333740155505,45.0
1205,12,3.25,5.0,2,NoCurbRamp,Phinney Ridge,47.668655713399254,-122.36091868082683,0,10,0,2,0,0,108.92573991933837,44.849999999999994
209,13,3.0,3.0,2,SurfaceProblem,Industrial District,47.54676320002629,-122.38888667179988,0,5,0,0,0,8,140.04749392621756,44.849999999999994
85,12,3.1666666666666665,4.0,2,NoCurbRamp,Mount Baker,47.516891161600746,-122.25877380371094,0,7,0,0,0,5,151.56625079002362,43.699999999999996
24,12,3.1666666666666665,4.0,2,CurbRamp,Mount Baker,47.50110944112142,-122.24257278442383,9,0,0,0,0,3,119.83108520507812,43.699999999999996
738,12,3.1666666666666665,5.0,2,CurbRamp,First Hill,47.608181635538735,-122.32566897074382,10,0,0,2,0,0,42.25046995836105,43.699999999999996
276,14,3.0,3.0,1,NoSidewalk,Ravenna,47.730084555489675,-122.29930932181222,0,0,14,0,0,0,130.84030151367188,42.0
246,14,3.0,3.0,1,NoSidewalk,Roosevelt,47.723441805158345,-122.3087043762207,0,0,14,0,0,0,70.07223160169751,42.0
870,12,3.0,3.0,2,NoCurbRamp,Mann,47.61408519744873,-122.29906336466472,0,8,0,0,0,4,115.3193455569739,41.4
192,12,3.0,3.0,2,NoCurbRamp,Industrial District,47.534118016560875,-122.37913386027019,0,7,0,0,0,5,160.9039306640625,41.4
670,12,3.0,3.0,2,NoCurbRamp,Ravenna,47.68128967285156,-122.30306625366211,0,10,0,0,0,2,81.53198919519885,41.4
974,12,3.0,3.0,2,NoCurbRamp,Sunset Hill,47.67660331726074,-122.39569981892903,0,9,0,0,0,3,57.586669921875,41.4
